Año;Mes.de.choque;Rango.horario;Cantidad.de.lesionados;addresses;Coordenada.X;Coordenada.Y;lon;lat;direccion
2016;Julio;0 a 5:59;1;BERMUDEZ Y REGIMIENTO 11,Rosario,Santa Fe,Argentina;5439934,11;6349189;-60,6427204;-32,9986009;Av Bermúdez & Regimiento 11, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ESCALADA CELEDONIO 99,Rosario,Santa Fe,Argentina;5438108,51;6356814,37;-60,6874782;-32,9112252;Escalada 99, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;LINIERS Y PTE PERON,Rosario,Santa Fe,Argentina;5434763,5;6353320,49;-60,6977517;-32,9611573;Liniers & Av. Pres. Perón, S2010 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ARIJON 1637,Rosario,Santa Fe,Argentina;5438632,04;6348646,02;-60,656647;-33,003352;Av. Arijon 1637, S2011CAB Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;2;BARRA Y MONTEVIDEO,Rosario,Santa Fe,Argentina;5433935,7;6354842,29;-60,7065128;-32,9473135;Barra & Montevideo, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;1 DE MAYO Y 3 DE FEBRERO,Rosario,Santa Fe,Argentina;5440972,81;6354119,64;-60,631298;-32,9542036;1 de Mayo & 3 de Febrero, S2000 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;EVA PERON Y SOLIS,Rosario,Santa Fe,Argentina;5434193.09;6356243.09;-60,7036502;-32,9346377;Solís & Av. Eva Perón, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ROUILLON Y SEGUI,Rosario,Santa Fe,Argentina;5434460,94;6352245,97;-60,7009875;-32,9708025;Rouillon & Bv. Seguí, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;DORREGO Y PELLEGRINI,Rosario,Santa Fe,Argentina;5439040,52;6353986,09;-60,6519511;-32,9553833;Dorrego & Av. Pellegrini, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;2;RIOJA Y PUEYRREDON,Rosario,Santa Fe,Argentina;5438501,79;6355221,24;-60,6576949;-32,944134;Pueyrredón & Rioja, S2000 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;GABOTO Y LAPRIDA,Rosario,Santa Fe,Argentina;5440076,74;6351915,01;-60,6409686;-32,9740335;Laprida & Gaboto, S2001 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;NEUQUEN Y PROVINCIAS UNIDAS,Rosario,Santa Fe,Argentina;5433380,27;6355139,26;-60,7124688;-32,9445893;Neuquén & Av. Provincias Unidas, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;GRANADEROS 2960,Rosario,Santa Fe,Argentina;5,43E+15;6,36E+15;-60,7100279;-32,8859848;Camino de los Granaderos 2960, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;E ZEBALLOS Y OVIDIO LAGOS,Rosario,Santa Fe,Argentina;5437948,18;6354475,67;-60,6636275;-32,9508503;Zeballos & Av. Ovidio Lagos, S2002 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ESTEBAN DE LUCA Y OVIDIO LAGOS,Rosario,Santa Fe,Argentina;5436976,96;6349487,79;-60,6744179;-32,9957254;Esteban de Luca & Av. Ovidio Lagos, S2004 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;2;SANTA FE Y VERA MUJICA,Rosario,Santa Fe,Argentina;5437667,4;6355682,73;-60,666515;-32,9399496;Vera Mujica & Sta Fe, S2002 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;SOLIS BIS 500,Rosario,Santa Fe,Argentina;5434157,06;6357559;-60,7040821;-32,9229183;Solís Bis 500, S2007 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;RONDEAU 4300,Rosario,Santa Fe,Argentina;5434599,89;6362903,9;-60,6983153;-32,8745923;Bv. Rondeau 4300, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;BUENOS AIRES Y RIOJA,Rosario,Santa Fe,Argentina;5440804,5;6354720;-60,6330487;-32,9487899;Rioja & Buenos Aires, S2000 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;BROWN Y OVIDIO LAGOS,Rosario,Santa Fe,Argentina;5438359,15;6356462,07;-60,6590884;-32,9329605;Brown & Av. Ovidio Lagos, S2002 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;KHANTUTA Y SAN MARTIN,Rosario,Santa Fe,Argentina;5439139,3;6347696,67;-60,651323;-33,0120193;Khantuta & Av. San Martín, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ALEM Y SEGUI,Rosario,Santa Fe,Argentina;5440502,7;6351164,26;-60,6365565;-32,9809293;Leandro N. Alem & Bv. Seguí, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;2;GARAY Y ROUILLON,Rosario,Santa Fe,Argentina;5434439,84;6352769,89;-60,7011872;-32,9660308;Garay & Rouillon, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;MONTEAGUDO Y VELEZ SARSFIELD,Rosario,Santa Fe,Argentina;5437565,14;6357373,17;-60,6675038;-32,9246916;Monteagudo & Vélez Sársfield, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ALBERT SABIN Y RUBEN DARIO,Rosario,Santa Fe,Argentina;5435758,56;6357704,53;-60,6427204;-32,9986009;Av Bermúdez & Regimiento 11, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;MATHEU Y RONDEAU,Rosario,Santa Fe,Argentina;5435035,15;6361378,2;-60,6943188;-32,8884252;Matheu & Bv. Rondeau, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;OVIDIO LAGOS Y SEGUI,Rosario,Santa Fe,Argentina;5437424,48;6351797,02;-60,669305;-32,9749343;Bv. Seguí & Av. Ovidio Lagos, S2004 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;2;PUEYRREDON Y TUCUMAN,Rosario,Santa Fe,Argentina;5438633,79;6355863,25;-60,6561899;-32,9383457;Pueyrredón & Tucumán, S2000 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;BELGRANO Y SAN MARTIN,Rosario,Santa Fe,Argentina;5440618,05;6355597,17;-60,6352624;-32,9410021;Av. San Martín & Av. Belgrano, Rosario, Santa Fe, Argentina
